"tree_id","displayed_scientific_name","synonyms","family","displayed_common_name","alternative_common_names","generic_1","generic_2","memo","ethnobotanical_info","pacific_island","photolocations","display","landscape_application","landscape_use","native_range","california_native","ca_invasive","hi_native","invasive_text","height_low","height_high","width_low","width_high","growth_rate_low","growth_rate_high","foliage_type","tree_shape","litter_type","bark_color","bark_texture","branch_strength_low","branch_strength_high","leaf_form","leaf_arrangement","leaflet_shape","foliage_growth_color","foliage_fall_color","fruit_size","fruit_color","fruit_type","fruit_value","fruiting_time","flower_showiness","fragrance","flower_color","flower_time","flower_type","usda_zone","sunset_zone","salinity_tolerance","planting_area","soil_texture","saltspray_tolerance","exposure_low","exposure_high","soil_ph_low","soil_ph_high","pest_resistant","pest_susceptibility","disease_resistant","disease_susceptibility","root_damage_potential","health_hazard","attracts_wildlife","biogenic_emissions","deer_palatable","water_use","schoolyard","appraisal","app_lcant","app_grrating"
1,"Abies amabilis",,"Pinaceae","PACIFIC SILVER FIR","CASCADE FIR,AMABILIS FIR","FIR",,"Pacific silver fir, which gets its name from the silver undersides of the needles, is widespread in the cool, wet coastal areas of the Pacific Northwest. It was not known to occur in California until it was discovered in the 1930s in a few groves in western Siskiyou County, in the Marble Mountain Wilderness near Hancock Lake. Pacific silver firs can be massive, and individuals are known that are nearly 200 feet tall.","",0,"Regional Parks Botanic Garden, Tilden Regional Park - Berkeley, CA and Hoyt Arboretum - Portland, OR",1,,,"California and Oregon",1,0,0,"",30,80,12,15,12,24,"0","Conical","Dry Fruit","Light Gray or Red Brown","Fissured","3","3","Simple","Alternate","Needle","Bluish Green,Silver,Gray Green",0,"Very Large","Black or Purple","Cone","Wildlife use it","Fall,Winter,Summer","",1,,"Spring",,"6,7,8","3,4,5,6,7,15,16,17",,">7","Loam,Sand,Clay","Moderate",2,3,1,4,,"Aphids,Beetle Borers",,"Armillaria,Root Rot,Rust,White Pine Blister Rust","High","Allergy","Birds,Squirrels","",0,"H",0,,,
2,"Abies bracteata",,"Pinaceae","SANTA LUCIA FIR","BRISTLECONE FIR","FIR",,"Santa Lucia fir only grows within fifteen miles of the coast in the Santa Lucia Mountains of central coastal California. It's the rarest and most unusual North American fir, growing slowly in rocky soils on the steep slopes of fog-laden ravines along Big Sur. These narrow, spire-like trees can grow over 100 feet tall, but most are much shorter. Compared to typical firs, their buds are much longer, their needles are much more sharply pointed, and their cones have long projections, giving the trees their other common name: bristlecone fir.
","",0,"Rancho Santa Ana Botanic Gardens - Claremont, CA, Stanford, CA, Regional Parks Botanic Garden, Tilden Regional Park - Berkeley, CA and Los Angeles County Arboretum - Arcadia, CA",1,,,"Central California",1,0,0,"",50,80,15,20,24,24,"0","Conical","Dry Fruit","Dark Brown, Red Brown or Dark Gray","Fissured","3","3","Simple","Alternate","Needle","Dark Green",0,"Very Large","Brown or Purple","Cone",,"Winter,Summer","",,,"Spring",,"7,8","6,7,8,9,14,15,16,17,18,19,20,21",,">7","Loam,Sand","Moderate",2,3,1,5,,,,,"Moderate","None Known","Birds,Squirrels","Moderate",0,"M",0,,,
3,"Abies concolor",,"Pinaceae","WHITE FIR",,"FIR",,"Best growth on deep, permeable soils with abundant moisture at mid- to high elevations. Commonly grown Western native at mid-elevation and coastal mountains. regions. Fine Christmas tree. Although this tree can reach a height of 120 feet in its native habitat, it is much slower growing in landscaped settings and much shorter heights are common. Closely related to lt;emgt;A. grandislt;/emgt;. Shade tolerant.","",0,"Kwantlen Polytechnic University, Langley, B.C., Grand Canyon, AZ, Red Butte Garden - Salt Lake City, UT, Regional Parks Botanic Garden, Tilden Regional Park - Berkeley, CA, Finch Arboretum - Spokane, WA and Hoyt Arboretum - Portland, OR",1,,"Bonsai","California and Southwestern United States",1,0,0,"",40,80,15,25,12,24,"0","Conical","Dry Fruit","Light Gray","Fissured","3","3","Simple","Alternate","Needle","Bluish Green,Silver,Gray Green",0,"Very Large","Brown or Purple","Cone",,"Fall,Winter","",1,,"Spring",,"3,4,5,6,7","1,2,3,4,5,6,7,8,9,14,15,16,17,18,19,20,21,22,23,24",,">7","Loam,Sand,Clay","Moderate",2,3,1,4,,"Aphids,Fir Engraver Beetle,Bagworm,Cottony Cushion Scale",,"Mistletoe,Armillaria,Root Rot,Indian Paint","Moderate","Allergy","Birds,Squirrels","Moderate",0,"H",0,"Yes","24"" box","2"
4,"Abies concolor 'Violacea'",,"Pinaceae","VIOLACEA WHITE FIR",,"FIR",,"Has silver-blue foliage. Grown in a large open area can become a wonderful specimen tree.","",0,"",1,"Screen","Bonsai","California and Southwestern United States",1,0,0,"",40,50,15,25,12,12,"3","Conical","Dry Fruit","Light Gray","Fissured","3","3","Simple","Alternate","Needle","Bluish Green,Silver,Gray Green",0,"","Brown","Cone",,"Fall,Winter","",1,,"Spring","Has either male or female reproductive parts (dioecious)","3,4,5,6,7","1,2,3,4,5,6,7,8,9,14,15,16,17,18,19,20,21,22,23,24",,">7","Loam,Sand","",2,3,1,4,,"Aphids,Beetle Borers",,"Mistletoe,Armillaria,Root Rot,Rust","Moderate","Allergy","Birds,Squirrels","",0,"H",0,,,
5,"Abies firma",,"Pinaceae","JAPANESE FIR","MOMI FIR","FIR",,"Densely branched with stiff, leathery needles. A slow grower that will reach heights over 100 feet in its native environment.","",0,"Nikko Botanical Garden, Nikko City, Japan, UC Santa Cruz Arboretum - Santa Cruz, CA, Finch Arboretum - Spokane, WA and Arnold Arboretum - Boston, MA.",1,"Buffer Strip,Screen","Bonsai","Japan",0,0,0,"",20,80,10,40,12,12,"3","Conical","Dry Fruit,Leaves,Twigs","Grayish Brown","Scaly","3","3","Simple","Alternate","Needle","Dark Green",0,"Very Large","Brown","Cone","Wildlife use it","Fall,Summer","",1,,"Spring","Has either male or female reproductive parts (dioecious)","6,7,8,9","1,2,3,4,5,6,7,8,9,14,15,16,17",,">7","Loam,Sand,Clay","",3,3,3,5,,,,,"Low",,"Squirrels","",0,"M",0,,,
6,"Abies grandis",,"Pinaceae","GRAND FIR","LOWLAND FIR","FIR",,"Grand fir is widely distributed in the Pacific Northwest in western parts of Oregon and Washington to the Puget Sound area of British Columbia and from the Columbia River basin of eastern Oregon and Washington to the northern Rockies of Idaho, Montana, and Canada. In California, however, where grand fir reaches its southern limits, it is only found in low-elevation coastal hills and river valleys. It's closely related to white fir and hybridizes with it in more interior areas. Grand fir often co-occurs with coastal redwoods and can reach 200 feet in height. It has the interesting feature of forming different length needles along branchlets.
","",0,"South Delta - B.C., Joffre Lakes Provincial Park - Whistler, B.C., Hoyt Arboretum - Portland, OR and Arnold Arboretum - Boston, MA. Jug Handle State Park, California",1,,,"North and Southwestern United States",1,0,0,"",50,200,15,25,24,36,"0","Conical","Dry Fruit","Light Green or Light Gray","Fissured","5","5","Simple","Alternate","Needle","Green",0,"Very Large","Brown or Purple","Cone",,"Winter,Summer","",1,,"Spring",,"6,7,8,9","1,2,3,4,5,6,7,8,9,14,15,16,17",,">7","Loam,Sand","Moderate",2,3,1,4,,"Beetle Borers",,"Armillaria,Root Rot,Rust","Moderate","Allergy","Birds,Squirrels","Moderate",0,"M",0,,,
7,"Abies koreana",,"Pinaceae","KOREAN FIR",,"FIR",,"Aurea has gold and green foliage.","",0,"Longwood Gardens - Kennette Square, PA, UBC Botanical Garden - Vancouver, B.C., Vandusen Botanical Garden - Vancouver, B.C., Arnold Arboretum - Boston, MA and UC Berkeley Botanic Garden - Berkeley, CA",1,"Screen",,"Korea",0,0,0,"",15,35,8,20,12,12,"3","Conical","Dry Fruit","Cream, Dark Brown or Purple","Fissured","3","3","Simple","Alternate","Needle","Green",0,"Large","Brown or Purple","Cone",,"Winter","",1,,"Spring","Has male and female reproductive parts in each flower (perfect)","5,6","3,4,5,6,7,8,9,14,15,16,17,18,19,20,21,22,23,24",,"4 to 7","Loam,Sand","Moderate",2,3,1,4,,"Aphids",,,"Moderate","Allergy","Birds,Squirrels","",0,"M",0,,,
8,"Abies lasiocarpa",,"Pinaceae","SUBALPINE FIR","ALPINE FIR,ROCKY MOUNTAIN FIR","FIR",,"Subalpine fir is the most widely distributed fir in North America. It occurs from northern Arizona to Alaska but was not known to occur in California until found in 1970 in a small stand near Russian Peak in the Salmon Mountains of Siskiyou County. Subalpine fir usually grows in small stands at high elevations and is not easily observed, especially in California. The trees are conical with smooth trunks of white bark and horizontal branches with encircling needles.","",0,"Hoyt Arboretum - Portland, OR, Regional Parks Botanic Garden, Tilden Regional Park - Berkeley, CA and Arnold Arboretum - Boston, MA.",1,,"Bonsai","Alaska, Washington, and Oregon",1,0,0,"",50,90,15,20,12,24,"0","Conical","Dry Fruit","Cream, Light Gray or Red Brown","Fissured","3","3","Simple","Alternate","Needle","Bluish Green,Silver,Gray Green",0,"Very Large","Brown or Purple","Cone",,"Fall,Winter","",1,,"Spring,Summer",,"5,6","1,2,3,4,5,6,7,8,9,14,15,16,17",,">7","Loam,Sand","Moderate",2,3,1,4,,"Beetle Borers",,"Armillaria,Root Rot,Rust","Moderate","Allergy","Birds,Squirrels","",0,"M",0,,,
9,"Abies magnifica",,"Pinaceae","RED FIR",,"FIR",,"In California, red firs dominate the high-elevation snowy forests of the Sierra Nevada and Cascade mountains. Their range in these areas is higher than white fir's (gt;Abies concolorgt;). At the northern end of its distribution, red fir hybridizes with noble fir (gt;Abies proceragt;), and these intermediate trees are sometimes treated as the variety gt;shastensisgt; or Shasta red fir. These supposed hybrids differ from typical red fir in having cones with partially exerted leaf-like projections. Red firs have a reddish-brown trunk supporting a conical crown of bluish-green needles, each bent upward along the branchlets. Purplish-brown cones form high in the canopy and are the largest known of any fir species.","",0,"Hoyt Arboretum - Portland, OR",1,,,"California and Oregon",1,0,0,"",50,100,15,20,12,24,"0","Conical","Dry Fruit","Red Brown","Fissured","3","3","Simple","Alternate","Needle","Bluish Green,Silver,Gray Green",0,"Very Large","Brown or Purple","Cone",,"Fall,Winter,Summer","",1,,"Spring",,"6,7,8","2,3,4,5,6,7",,">7","Loam,Clay","Low",2,3,1,3,,"Beetle Borers",,"Armillaria,Root Rot,Annosus Root Disease,Indian Paint","Moderate","None Known","Birds,Squirrels","Moderate",0,"H",0,"Yes","24"" box","—"
10,"Abies nordmanniana",,"Pinaceae","NORDMANN FIR","CAUCASIAN FIR","FIR",,"Can grow much taller in the wild, but usually smaller outside its natural habitat.","",0,"Longwood Gardens - Kennette Square, PA, Morton Arboretum - Lisle, IL, Hoyt Arboretum - Portland, OR and Arnold Arboretum - Boston, MA.",1,,"Bonsai","Caucasus",0,0,0,"",30,80,20,20,12,24,"3","Conical","Dry Fruit","Dark Brown or Dark Gray","Fissured","3","3","Simple","Alternate","Needle","Green",0,"Very Large","Brown or Red","Cone",,"Winter","",1,,"Spring","Has either male or female reproductive parts (dioecious)","4,5,6,7,8,9","1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,19,20,21,22,23,24",,">7","Loam,Sand","Moderate",2,3,1,4,,"Aphids",,"Phytophthora,Root Rot","Moderate","None Known","Birds,Squirrels","",0,"M",0,,,
