usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,verbatim_name,verbatim_kingdom,tree_id,displayed_scientific_name,taxonomic_level
2685524,Abies amabilis Douglas ex J.Forbes,Abies amabilis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies amabilis,6,7707728,194,640,3925,2684876,2685524,FALSE,Pinopsida,Abies amabilis,plants,1,Abies amabilis,species
2685479,Abies bracteata (D.Don) A.Poit.,Abies bracteata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies bracteata,6,7707728,194,640,3925,2684876,2685479,FALSE,Pinopsida,Abies bracteata,plants,2,Abies bracteata,species
2685580,Abies concolor (Gordon) Lindl. ex Hildebr.,Abies concolor,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies concolor,6,7707728,194,640,3925,2684876,2685580,FALSE,Pinopsida,Abies concolor,plants,3,Abies concolor,species
2685580,Abies concolor (Gordon) Lindl. ex Hildebr.,Abies concolor,SPECIES,ACCEPTED,87,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies concolor,6,7707728,194,640,3925,2684876,2685580,FALSE,Pinopsida,Abies concolor 'Violacea',plants,4,Abies concolor 'Violacea',horticulture
2685414,Abies firma Siebold & Zucc.,Abies firma,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies firma,6,7707728,194,640,3925,2684876,2685414,FALSE,Pinopsida,Abies firma,plants,5,Abies firma,species
2685361,Abies grandis (Douglas ex D.Don) Lindl.,Abies grandis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies grandis,6,7707728,194,640,3925,2684876,2685361,FALSE,Pinopsida,Abies grandis,plants,6,Abies grandis,species
2685681,Abies koreana E.H.Wilson,Abies koreana,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies koreana,6,7707728,194,640,3925,2684876,2685681,FALSE,Pinopsida,Abies koreana,plants,7,Abies koreana,species
2685313,Abies lasiocarpa (Hook.) Nutt.,Abies lasiocarpa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies lasiocarpa,6,7707728,194,640,3925,2684876,2685313,FALSE,Pinopsida,Abies lasiocarpa,plants,8,Abies lasiocarpa,species
2685422,Abies magnifica A.Murray bis,Abies magnifica,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies magnifica,6,7707728,194,640,3925,2684876,2685422,FALSE,Pinopsida,Abies magnifica,plants,9,Abies magnifica,species
2685552,Abies nordmanniana (Steven) Spach,Abies nordmanniana,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies nordmanniana,6,7707728,194,640,3925,2684876,2685552,FALSE,Pinopsida,Abies nordmanniana,plants,10,Abies nordmanniana,species
