tree_id,sunset_zone
1846,13
1846,14
1846,15
1846,16
1846,17
1846,18
1846,19
1846,20
1846,21
1846,22
1846,23
1846,24
1846,7
1846,8
1846,9
1998,10
1998,11
1998,12
1998,13
1998,14
1998,15
1998,16
1998,17
1998,18
1998,19
1998,20
1998,21
1998,22
1998,23
1998,24
1998,4
1998,5
1998,6
1998,7
1998,8
1998,9
1397,19
1397,20
1397,21
1397,22
1397,23
1397,24
1397,H1
1397,H2
969,H1
969,H2
1838,14
1838,15
1838,16
1838,17
1838,4
1838,5
1838,6
1838,7
1764,H1
1764,H2
1764,H1
1764,H2
1447,10
1447,11
1447,12
1447,13
1447,14
1447,15
1447,16
1447,17
1447,18
1447,19
1447,20
1447,21
1447,22
1447,23
1447,24
1447,8
1447,9
1986,10
1986,11
1986,12
1986,13
1986,14
1986,15
1986,16
1986,17
1986,18
1986,19
1986,20
1986,21
1986,22
1986,23
1986,24
1986,5
1986,6
1986,8
1986,9
2012,21
2012,22
2012,23
2012,24
2011,21
2011,22
2011,23
2011,24
2011,H1
2011,H2
1761,21
1761,22
1761,23
1761,24
1761,H1
1761,H2
1120,21
1120,22
1120,23
1120,24
1120,H1
1120,H2
1316,21
1316,22
1316,23
1316,24
1316,H1
1316,H2
1821,21
1821,22
1821,23
1821,24
1821,H1
1821,H2
1332,21
1332,22
1332,23
1332,24
1332,H1
1332,H2
1997,H1
1997,H2
1906,12
1906,13
1906,15
1906,16
1906,17
1906,18
1906,19
1906,20
1906,21
1906,22
1906,23
1906,24
1906,H1
1906,H2
1832,1
1832,10
1832,11
1832,12
1832,13
1832,14
1832,15
1832,16
1832,17
1832,18
1832,19
1832,2
1832,20
1832,21
1832,22
1832,23
1832,24
1832,3
1832,4
1832,5
1832,6
1832,7
1832,8
1832,9
1999,1
1999,10
1999,11
1999,12
1999,13
1999,14
1999,15
1999,16
1999,17
1999,18
1999,19
1999,2
1999,20
1999,21
1999,22
1999,23
1999,24
1999,3
1999,4
1999,5
1999,6
1999,7
1999,8
1999,9
1907,23
1907,24
1907,H1
1907,H2
1027,10
1027,11
1027,12
1027,14
1027,15
1027,16
1027,17
1027,18
1027,19
1027,20
1027,21
1027,22
1027,23
1027,24
1027,4
1027,5
1027,6
