usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,verbatim_name,acceptedUsageKey
2685524,Abies amabilis Douglas ex J.Forbes,Abies amabilis,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies amabilis,6,7707728,194,640,3925,2684876,2685524,FALSE,Pinopsida,Abies amabilis,NA
2685479,Abies bracteata (D.Don) A.Poit.,Abies bracteata,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies bracteata,6,7707728,194,640,3925,2684876,2685479,FALSE,Pinopsida,Abies bracteata,NA
2685580,Abies concolor (Gordon) Lindl. ex Hildebr.,Abies concolor,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies concolor,6,7707728,194,640,3925,2684876,2685580,FALSE,Pinopsida,Abies concolor,NA
2685414,Abies firma Siebold & Zucc.,Abies firma,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies firma,6,7707728,194,640,3925,2684876,2685414,FALSE,Pinopsida,Abies firma,NA
2685361,Abies grandis (Douglas ex D.Don) Lindl.,Abies grandis,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies grandis,6,7707728,194,640,3925,2684876,2685361,FALSE,Pinopsida,Abies grandis,NA
2685681,Abies koreana E.H.Wilson,Abies koreana,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies koreana,6,7707728,194,640,3925,2684876,2685681,FALSE,Pinopsida,Abies koreana,NA
2685313,Abies lasiocarpa (Hook.) Nutt.,Abies lasiocarpa,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies lasiocarpa,6,7707728,194,640,3925,2684876,2685313,FALSE,Pinopsida,Abies lasiocarpa,NA
2685422,Abies magnifica A.Murray bis,Abies magnifica,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies magnifica,6,7707728,194,640,3925,2684876,2685422,FALSE,Pinopsida,Abies magnifica,NA
2685552,Abies nordmanniana (Steven) Spach,Abies nordmanniana,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies nordmanniana,6,7707728,194,640,3925,2684876,2685552,FALSE,Pinopsida,Abies nordmanniana,NA
2685464,Abies pinsapo Boiss.,Abies pinsapo,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies pinsapo,6,7707728,194,640,3925,2684876,2685464,FALSE,Pinopsida,Abies pinsapo,NA
2685308,Abies procera Rehd.,Abies procera,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies procera,6,7707728,194,640,3925,2684876,2685308,FALSE,Pinopsida,Abies procera,NA
2979331,Acacia aneura F.Muell. ex Benth.,Acacia aneura,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Acacia,Acacia aneura,6,7707728,220,1370,5386,2978223,2979331,FALSE,Magnoliopsida,Acacia aneura,NA
2981001,Acacia auriculiformis A.Cunn. ex Benth.,Acacia auriculiformis,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Acacia,Acacia auriculiformis,6,7707728,220,1370,5386,2978223,2981001,FALSE,Magnoliopsida,Acacia auriculiformis,NA
2981303,Acacia baileyana F.Muell.,Acacia baileyana,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Acacia,Acacia baileyana,6,7707728,220,1370,5386,2978223,2981303,FALSE,Magnoliopsida,Acacia baileyana,NA
2979743,Acacia boormanii Maiden,Acacia boormanii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Acacia,Acacia boormanii,6,7707728,220,1370,5386,2978223,2979743,FALSE,Magnoliopsida,Acacia boormanii,NA
2979621,Acacia constricta A.Gray,Acacia constricta,SPECIES,SYNONYM,98,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia constricta,6,7707728,220,1370,5386,8142432,3795576,TRUE,Magnoliopsida,Acacia constricta,3795576
2978348,Acacia craspedocarpa F.Muell.,Acacia craspedocarpa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Acacia,Acacia craspedocarpa,6,7707728,220,1370,5386,2978223,2978348,FALSE,Magnoliopsida,Acacia craspedocarpa,NA
2979559,Acacia cultriformis A.Cunn. ex G.Don,Acacia cultriformis,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Acacia,Acacia cultriformis,6,7707728,220,1370,5386,2978223,2979559,FALSE,Magnoliopsida,Acacia cultriformis,NA
2980425,Acacia cyclops A.Cunn. ex G.Don,Acacia cyclops,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Acacia,Acacia cyclops,6,7707728,220,1370,5386,2978223,2980425,FALSE,Magnoliopsida,Acacia cyclops,NA
