verbatim_name,usageKey,acceptedUsageKey,acceptedCanonicalName,selecTree_name_url,accepted_name_url
Acacia constricta,2979621,3795576,Vachellia constricta,https://www.gbif.org/species/2979621,https://www.gbif.org/species/3795576
Acer saccharum subsp. floridanum,3189873,3189871,Acer barbatum,https://www.gbif.org/species/3189873,https://www.gbif.org/species/3189871
Acer saccharum subsp. grandidentatum,6359184,7546232,Acer grandidentatum,https://www.gbif.org/species/6359184,https://www.gbif.org/species/7546232
Acer saccharum subsp. leucoderme,3189850,3189849,Acer leucoderme,https://www.gbif.org/species/3189850,https://www.gbif.org/species/3189849
Acer saccharum subsp. nigrum,3189855,3189854,Acer nigrum,https://www.gbif.org/species/3189855,https://www.gbif.org/species/3189854
Acoelorrhaphe wrightii,2732163,6418688,Acoelorraphe wrightii,https://www.gbif.org/species/2732163,https://www.gbif.org/species/6418688
Amelanchier sanguinea var. alnifolia,3023916,7272344,Amelanchier alnifolia alnifolia,https://www.gbif.org/species/3023916,https://www.gbif.org/species/7272344
Amelanchier arborea subsp. laevis,3023839,3023832,Amelanchier laevis,https://www.gbif.org/species/3023839,https://www.gbif.org/species/3023832
Betula albosinensis,5331592,7416544,Betula utilis albosinensis,https://www.gbif.org/species/5331592,https://www.gbif.org/species/7416544
Betula utilis var. jacquemontii,5332167,7914195,Betula utilis jacquemontii,https://www.gbif.org/species/5332167,https://www.gbif.org/species/7914195
Betula platyphylla,5331536,8245043,Betula pendula mandshurica,https://www.gbif.org/species/5331536,https://www.gbif.org/species/8245043
Cedrela sinensis,3850176,7271504,Toona sinensis,https://www.gbif.org/species/3850176,https://www.gbif.org/species/7271504
Cercis canadensis var. texensis,5353585,7598605,Cercis canadensis texensis,https://www.gbif.org/species/5353585,https://www.gbif.org/species/7598605
Cercis canadensis var. mexicana,5353588,7372138,Cercis canadensis mexicana,https://www.gbif.org/species/5353588,https://www.gbif.org/species/7372138
Cercis reniformis,5353586,7598605,Cercis canadensis texensis,https://www.gbif.org/species/5353586,https://www.gbif.org/species/7598605
Chaenomeles sinensis,3000696,3000699,Pseudocydonia sinensis,https://www.gbif.org/species/3000696,https://www.gbif.org/species/3000699
Callitropsis nootkatensis,5284235,2683894,Xanthocyparis nootkatensis,https://www.gbif.org/species/5284235,https://www.gbif.org/species/2683894
Citrus paradisi,7469645,8077391,Citrus aurantium,https://www.gbif.org/species/7469645,https://www.gbif.org/species/8077391
Citrus sinensis,3190158,8077391,Citrus aurantium,https://www.gbif.org/species/3190158,https://www.gbif.org/species/8077391
Conocarpus erectus var. sericeus,5421046,7827191,Conocarpus erectus sericeus,https://www.gbif.org/species/5421046,https://www.gbif.org/species/7827191
Hesperocyparis arizonica,2683983,7230667,Cupressus arizonica arizonica,https://www.gbif.org/species/2683983,https://www.gbif.org/species/7230667
Hesperocyparis forbesii,2684007,2684006,Cupressus guadalupensis forbesii,https://www.gbif.org/species/2684007,https://www.gbif.org/species/2684006
Hesperocyparis macnabiana,2684027,2684026,Cupressus macnabiana,https://www.gbif.org/species/2684027,https://www.gbif.org/species/2684026
Hesperocyparis macrocarpa,2684075,2684070,Cupressus macrocarpa,https://www.gbif.org/species/2684075,https://www.gbif.org/species/2684070
Eriobotrya deflexa,3024181,10855510,Rhaphiolepis deflexa,https://www.gbif.org/species/3024181,https://www.gbif.org/species/10855510
