tree_id,SelecTree Scientific Name,Analgous Tree Species,Zones Transferred
1829,Aextoxicon punctatum,Umbellularia californica,FALSE
1831,Aristotelia chilensis,Prunus lauracerasus,FALSE
1832,Austrocedrus chilensis,Juniperus occidentalis,FALSE
1860,Beilschmiedia berteroana,Quercus agrifolia,FALSE
1833,Beilschmiedia miersii,Umbellularia californica,FALSE
1984,Beilschmiedia tarairi,Umbellularia californica,FALSE
1986,Ceratopetalum gummiferum,Corymbia ficifolia,FALSE
1989,Dacrycarpus dacrydioides,Sequoia sempervirens,FALSE
1990,Dacrydium cupressinum,Sequoia sempervirens,FALSE
1836,Dasyphyllum diacanthoides,Umbellularia californica,FALSE
1837,Fitzroya cupressoides,Sequoia sempervirens,FALSE
1996,Fuchsia excorticata,Tristaniopsis laurina,FALSE
1838,Gevuina avellana,Chrysolepis chrysophylla,FALSE
1758,Glyptostrobus pensilis,Sequoia sempervirens,FALSE
1997,Gmelina arborea,Heritiera littoralis,FALSE
1998,Gordonia axillaris,Arbutus unedo,FALSE
1999,Halocarpus biformis,Juniperus occidentalis,FALSE
1899,Heptacodium miconioides,Tristaniopsis laurina,FALSE
2004,Laurelia novae-zelandiae,Umbellularia californica,FALSE
1839,Laurelia sempervirens,Umbellularia californica,FALSE
1397,Leucothrinax morrisii,Bismarckia nobilis,FALSE
969,Ochrosia elliptica,Cerbera manghas,FALSE
976,Osmanthus americanus,Osmanthus × fortunei,FALSE
1849,Peumus boldus,Quercus agrifolia,FALSE
1027,Pinckneya bracteata,Magnolia grandiflora,FALSE
2011,Plerandra  elegantissima,Heptapleurum actinophyllum,FALSE
1761,Polyscias racemosa,Heptapleurum actinophyllum,FALSE
1120,Pongamia pinnata,Heptapleurum actinophyllum,FALSE
1966,Prumnopitys ferruginea,Sequoia sempervirens,FALSE
1150,Prunus angustifolia,Prunus cerasifera,FALSE
1169,Prunus mexicana,Prunus cerasifera,FALSE
1190,Prunus umbellata,Prunus cerasifera,FALSE
2012,Psoralea pinnata,Erythrina caffra,FALSE
1901,Quercus aliena,Quercus macrocarpa,FALSE
1855,Quercus john-tuckeri,Quercus douglasii,FALSE
1903,Quercus montana,Quercus macrocarpa,FALSE
1904,Quercus prinoides,Qurcus rubra,FALSE
1255,Quercus prinus,Quercus muehlenbergii,FALSE
1905,Quercus variabilis,Quercus muehlenbergii,FALSE
1281,Rhus chinensis,Rhus typhina,FALSE
1285,Rhus lanceolata,Rhus typhina,FALSE
1702,Robinsonella cordata,tristaniopsis laurina,FALSE
1316,Sapindus saponaria,Heptapleurum actinophyllum,FALSE
1850,Saxegothaea conspicua,Umbellularia californica,FALSE
1764,Scaevola taccada,Conocarpus erectus,FALSE
1789,Schinus latifolia,Schinus molle,FALSE
1501,Schinus polygama,Schinus terebinthifolia,FALSE
1821,Schizolobium parahyba,Heptapleurum actinophyllum,FALSE
1906,Schotia latifolia,Jacaranda mimiosifolia,FALSE
227,Sideroxylon lanuginosum,Prunus lauracerasus,FALSE
1332,Simarouba amara,Heptapleurum actinophyllum,FALSE
1919,Simmondsia chinensis,Prosopis velutina,FALSE
1333,Sophora affinis,Sophora microphylla,FALSE
1851,Sophora fernandeziana,Sophora microphylla,FALSE
1844,Sophora macrocarpa,Sophora microphylla,FALSE
1774,Sorbus sargentiana,Sorbus hupehensis,FALSE
2007,Taiwania cryptomerioides,Sequoia sempervirens,FALSE
1846,Tara spinosa,Acacia baileyana,FALSE
1503,Tilia platyphyllos,Tilia americana,FALSE
1421,Torreya nucifera,Umbellularia californica,FALSE
1422,Torreya taxifolia,Umbellularia californica,FALSE
1432,Ulmus alata,Ulmus americana,FALSE
1436,Ulmus crassifolia,Ulmus chinensis,FALSE
1609,Ulmus davidiana var. japonica,Ulmus chinensis,FALSE
1447,Ungnadia speciosa,Cordia boissieri,FALSE
1907,Verschaffeltia splendida,Licuala grandis,FALSE
1459,Viburnum rufidulum,Viburnum odoratissimum,FALSE
1462,Viburnum sieboldii,Viburnum odoratissimum,FALSE
1463,Viburnum sieboldii 'Seneca',Viburnum odoratissimum,FALSE
1469,Vitex negundo 'Heterophylla',Vitex negundo,FALSE
1847,Weinmannia trichosperma,Umbellularia californica,FALSE
