taxonKey,vernacularName,language,source,sourceTaxonKey,preferred,country,area
2685479,Abete di Santa Lucia,ita,Catalogue of Life Checklist,175152606,NA,NA,NA
2685479,Bristlecone fir,eng,Catalogue of Life Checklist,175152606,NA,NA,NA
2685479,Bristlecone fir,eng,Catalogue of Life Checklist,175152606,NA,NA,NA
2685479,Grannen-Tanne,deu,Catalogue of Life Checklist,175152606,NA,NA,NA
2685479,Grannen-Tanne,deu,Catalogue of Life Checklist,175152606,NA,NA,NA
2685479,Santa Lucia fir,,NCBI Taxonomy,103018707,NA,NA,NA
2685479,Santa Lucia fir,eng,Catalogue of Life Checklist,175152606,NA,NA,NA
2685479,Santa Lucia fir,eng,Catalogue of Life Checklist,175152606,NA,NA,NA
2685479,Santa Lucia fir,eng,Integrated Taxonomic Information System (ITIS),102190417,NA,NA,NA
2685479,Szanta Lucsia-hegységi jegenyefenyo,hun,Catalogue of Life Checklist,175152606,NA,NA,NA
2685479,bristle-cone fir,,NCBI Taxonomy,103018707,NA,NA,NA
2685479,bristlecone fir,eng,GRIN Taxonomy,101400602,NA,NA,NA
2685479,bristlecone fir,eng,Integrated Taxonomic Information System (ITIS),102190417,NA,NA,NA
2685479,sapin de Santa Lucia,fra,Catalogue of Life Checklist,175152606,NA,NA,NA
2685479,sapin à bractées,fra,Catalogue of Life Checklist,175152606,NA,NA,NA
2685479,silver fir,eng,Integrated Taxonomic Information System (ITIS),102190417,NA,NA,NA
2685479,пихта прицветниковая (pikhta pricvetnikovaya),rus,Catalogue of Life Checklist,175152606,NA,NA,NA
2685479,硬苞冷杉 (ying bao leng shan),zho,Catalogue of Life Checklist,175152606,NA,NA,NA
2685479,Santa Lucia Fir,eng,The IUCN Red List of Threatened Species,176755216,TRUE,NA,NA
2685479,Bristlecone Fir,eng,The IUCN Red List of Threatened Species,176755216,FALSE,NA,NA
2685580,Abete del Colorado,ita,Catalogue of Life Checklist,171912362,NA,NA,NA
2685580,Balsam Fir,eng,Checklist of Vermont Species,160788824,NA,US,NA
2685580,California White Fir,eng,Checklist of Vermont Species,160788824,NA,US,NA
2685580,California white fir,eng,Catalogue of Life Checklist,171912362,NA,NA,NA
2685580,California white fir,eng,Catalogue of Life Checklist,171912362,NA,NA,NA
2685580,Colorado Fir,eng,Checklist of Vermont Species,160788824,NA,US,NA
2685580,Colorado White Fir,eng,Checklist of Vermont Species,160788824,NA,US,NA
2685580,Colorado fir,,NCBI Taxonomy,103018714,NA,NA,NA
2685580,Colorado fir,eng,Catalogue of Life Checklist,171912362,NA,NA,NA
2685580,Colorado fir,eng,Catalogue of Life Checklist,171912362,NA,NA,NA
2685580,Colorado fir,eng,GRIN Taxonomy,101400607,NA,NA,NA
