scientific_name,tree_id,status,selectree_url,Index,CommonName,SimilarToIndex,SimilarToCommonName,SimilarityScore
Pseudobombax ellipticum,1684,New,https://selectree.calpoly.edu/tree-detail/1684,2658,SHAVING BRUSH TREE,2659,SHAVINGBRUSH TREE,0.9909986054215469
Prunus serrula,1179,New,https://selectree.calpoly.edu/tree-detail/1179,1855,BIRCHBARK CHERRY,3717,BIRCH BARK CHERRY,0.9903688826571355
Aralia spinosa,169,New,https://selectree.calpoly.edu/tree-detail/169,231,DEVIL'S WALKING STICK,232,DEVIL'S WALKINGSTICK,0.9844764967637947
Ulmus minor,1435,New,https://selectree.calpoly.edu/tree-detail/1435,2261,SMOOTHLEAF ELM,3903,SMOOTH LEAF ELM,0.9840258663580164
Corymbia citriodora,533,New,https://selectree.calpoly.edu/tree-detail/533,812,LEMON SCENT GUM,813,LEMON SCENTED GUM,0.9833951335715129
Cotoneaster salicifolius,441,New,https://selectree.calpoly.edu/tree-detail/441,705,WILLOW LEAF COTONEASTER,3140,WILLOWLEAF COTONEASTER,0.9833854332444888
Populus angustifolia,1124,New,https://selectree.calpoly.edu/tree-detail/1124,1769,NARROW LEAF COTTONWOOD,3666,NARROWLEAF COTTONWOOD,0.9830272562517708
Populus alba,1122,New,https://selectree.calpoly.edu/tree-detail/1122,1765,SILVERLEAF POPLAR,1766,SILVER LEAF POPLAR,0.9817750652904154
Leucothrinax morrisii,1397,New,https://selectree.calpoly.edu/tree-detail/1397,2177,KEY THATCH PALM,3870,KEY THATCHPALM,0.9812687406931427
Cornus sericea,421,Existing,https://selectree.calpoly.edu/tree-detail/421,4238,RED TWIG DOGWOOD,4239,REDTWIG DOGWOOD,0.9809157933975569
Ficus rubiginosa,614,New,https://selectree.calpoly.edu/tree-detail/614,1009,LITTLELEAF FIG,1011,LITTLE LEAF FIG,0.9806438757251961
Pinus monophylla,1054,New,https://selectree.calpoly.edu/tree-detail/1054,1609,SINGLE LEAF PINYON PINE,3616,SINGLELEAF PINYON PINE,0.9805464853572293
Liquidambar styraciflua,819,New,https://selectree.calpoly.edu/tree-detail/819,1289,AMERICAN SWEET GUM,3423,AMERICAN SWEETGUM,0.9800513757962812
Eucalyptus nutans,1598,New,https://selectree.calpoly.edu/tree-detail/1598,2482,RED FLOWER MOORT,4027,RED FLOWERED MOORT,0.9797154752939002
Cornus alternifolia,392,New,https://selectree.calpoly.edu/tree-detail/392,652,ALTERNATE LEAF DOGWOOD,653,ALTERNATELEAF DOGWOOD,0.979328548008883
Juniperus osteosperma,758,New,https://selectree.calpoly.edu/tree-detail/758,1190,BIGBERRY JUNIPER,1192,BIG BERRY JUNIPER,0.9786661825994579
